Line 0, Char   0:	RESERVED_WORD  	FOR
Line 0, Char   4:	IDENTIFIER     	variable1
Line 0, Char  14:	ASSIGNMENT     	=
Line 0, Char  16:	INTEGER        	10
Line 0, Char  19:	RESERVED_WORD  	TO
Line 0, Char  22:	INTEGER        	20
Line 0, Char  25:	RESERVED_WORD  	BY
Line 0, Char  28:	INTEGER        	1
Line 0, Char  29:	SENTENCE_BREAK 	\n
Line 1, Char   0:	INDENT         	4
Line 1, Char   4:	RESERVED_WORD  	IF
Line 1, Char   7:	IDENTIFIER     	variable1
Line 1, Char  17:	MODULO         	%
Line 1, Char  19:	INTEGER        	2
Line 1, Char  21:	EQUALITY       	==
Line 1, Char  24:	INTEGER        	0
Line 1, Char  26:	RESERVED_WORD  	THEN
Line 1, Char  30:	SENTENCE_BREAK 	\n
Line 2, Char   0:	INDENT         	8
Line 2, Char   8:	RESERVED_WORD  	OUTPUT
Line 2, Char  15:	IDENTIFIER     	variable1
Line 2, Char  24:	SENTENCE_BREAK 	\n
Line 3, Char   0:	STRING         	"Hello ~Comment?~ World"
Line 3, Char  24:	SENTENCE_BREAK 	\n
Line 5, Char   0:	DECIMAL        	1.2
Line 5, Char   4:	DECIMAL        	.1
Line 5, Char   5:	SENTENCE_BREAK 	\n
Line 11, Char   0:	RESERVED_WORD  	SET
Line 11, Char   4:	IDENTIFIER     	x_1
Line 11, Char   8:	RESERVED_WORD  	AS
Line 11, Char  11:	RESERVED_WORD  	INTEGER
Line 11, Char  18:	SENTENCE_BREAK 	\n
Line 12, Char   0:	RESERVED_WORD  	SET
Line 12, Char   4:	IDENTIFIER     	x_2
Line 12, Char   8:	RESERVED_WORD  	AS
Line 12, Char  11:	RESERVED_WORD  	DECIMAL
Line 12, Char  18:	SENTENCE_BREAK 	\n
Line 13, Char   0:	RESERVED_WORD  	SET
Line 13, Char   4:	IDENTIFIER     	_
Line 13, Char   8:	RESERVED_WORD  	AS
Line 13, Char  11:	RESERVED_WORD  	BOOLEAN
Line 13, Char  18:	SENTENCE_BREAK 	\n
Line 14, Char   0:	RESERVED_WORD  	SET
Line 14, Char   4:	IDENTIFIER     	str
Line 14, Char   8:	RESERVED_WORD  	AS
Line 14, Char  11:	RESERVED_WORD  	STRING
Line 14, Char  17:	SENTENCE_BREAK 	\n
Line 16, Char   0:	RESERVED_WORD  	INPUT
Line 16, Char   6:	IDENTIFIER     	x_1
Line 16, Char   9:	SENTENCE_BREAK 	\n
Line 18, Char   0:	RESERVED_WORD  	SET
Line 18, Char   4:	IDENTIFIER     	x_2
Line 18, Char   8:	RESERVED_WORD  	AS
Line 18, Char  11:	DECIMAL        	72.7
Line 18, Char  15:	SENTENCE_BREAK 	\n
Line 20, Char   0:	RESERVED_WORD  	IF
Line 20, Char   3:	IDENTIFIER     	x_1
Line 20, Char   7:	LESS_THAN      	<
Line 20, Char   9:	INTEGER        	35
Line 20, Char  11:	SENTENCE_BREAK 	\n
Line 21, Char   0:	INDENT         	1
Line 21, Char   1:	RESERVED_WORD  	SET
Line 21, Char   5:	IDENTIFIER     	x_1
Line 21, Char   9:	ASSIGNMENT     	=
Line 21, Char  11:	IDENTIFIER     	x_1
Line 21, Char  15:	PLUS           	+
Line 21, Char  17:	INTEGER        	1
Line 21, Char  18:	SENTENCE_BREAK 	\n
Line 23, Char   0:	RESERVED_WORD  	IF
Line 23, Char   3:	IDENTIFIER     	_
Line 23, Char   5:	EQUALITY       	==
Line 23, Char   8:	RESERVED_WORD  	TRUE
Line 23, Char  13:	RESERVED_WORD  	THEN
Line 23, Char  17:	SENTENCE_BREAK 	\n
Line 24, Char   0:	INDENT         	1
Line 24, Char   1:	RESERVED_WORD  	SET
Line 24, Char   5:	IDENTIFIER     	_
Line 24, Char   7:	ASSIGNMENT     	=
Line 24, Char   9:	RESERVED_WORD  	FALSE
Line 24, Char  14:	SENTENCE_BREAK 	\n
Line 25, Char   0:	RESERVED_WORD  	ELSE
Line 25, Char   5:	RESERVED_WORD  	IF
Line 25, Char   8:	IDENTIFIER     	_
Line 25, Char  10:	EQUALITY       	==
Line 25, Char  13:	RESERVED_WORD  	FALSE
Line 25, Char  19:	RESERVED_WORD  	THEN
Line 25, Char  23:	SENTENCE_BREAK 	\n
Line 26, Char   0:	INDENT         	1
Line 26, Char   1:	RESERVED_WORD  	SET
Line 26, Char   5:	IDENTIFIER     	_
Line 26, Char   7:	ASSIGNMENT     	=
Line 26, Char   9:	RESERVED_WORD  	TRUE
Line 26, Char  13:	SENTENCE_BREAK 	\n
Line 28, Char   0:	INTEGER        	1
Line 28, Char   2:	PLUS           	+
Line 28, Char  21:	INTEGER        	2
Line 28, Char  22:	SENTENCE_BREAK 	\n
Line 31, Char   0:	INTEGER        	1
Line 31, Char   1:	EXPONENT       	e
Line 31, Char   2:	INTEGER        	2
Line 31, Char   4:	EQUALITY       	==
Line 31, Char   7:	INTEGER        	100
Line 31, Char  10:	SENTENCE_BREAK 	\n
Line 34, Char   0:	MINUS          	-
Line 34, Char   1:	INTEGER        	10
Line 34, Char   3:	SENTENCE_BREAK 	\n
